,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
50478,anetv_iiY3TE2O1QE,89,It pans to several shots of men playing soccer on a beach and kick the ball around. The camera,It pans to several shots of men playing soccer on a beach and kick the ball around.,The camera,gen,begins to show more shots of the woman pushing the puck.,zooms all around a man swimming in the pool.,pans around several clips of people on a volleyball on the sand and ending with one man wearing an orange shirt.,pans back to much of their coming.,2
21871,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-61452,17847,"Someone lands in the guard room with a crash, creating sudden alarm amongst the orcs and uruk - hai stationed there. Shagrat","Someone lands in the guard room with a crash, creating sudden alarm amongst the orcs and uruk - hai stationed there.",Shagrat,gold,leans through the trap door.,ricochet off the monitor as he sees.,screaming and the white bull is attacked.,", someone takes the fright.",0
33784,lsmdc3038_ITS_COMPLICATED-17563,19277,Someone gazes back at her then looks away and opens the driver side door. She,Someone gazes back at her then looks away and opens the driver side door.,She,gold,"gets up, puts her hand to her mouth, squeezes her fingers, and smiles.",glances over the van then climbs off her shoulder.,watches as someone's sports car drives away passing a three - rail horse fence that lines the road.,drops the bags of her feet then pushes his way back to the road.,2
48944,lsmdc3068_THE_BIG_YEAR-3426,6060,"Later, they stroll outside. Someone extends his hand to shake, but someone","Later, they stroll outside.","Someone extends his hand to shake, but someone",gold,keeps pausing to sneer at someone.,shakes someone's hand.,leans forward and gives him a hug.,watches helplessly as someone races down the forced corridor at a.,2
24595,anetv_hXrNCak63u0,3557,A robot is sitting behind a piano in a room. Its hands,A robot is sitting behind a piano in a room.,Its hands,gold,are lighting up no the piano keys.,are solidly in a bowl at a counter.,are gathered together by a boy wearing a red shirt.,are strumming the guitar and singing.,0
16702,lsmdc3070_THE_CALL-33156,16384,"Someone looks behind him, facing someone. Our view","Someone looks behind him, facing someone.",Our view,gold,"follows in the intensity of a large, shallow, swollen fountain.",lingers on the climber and a tall hedge while the other tips down.,shifts down behind someone to the surgical scissors protruding from his lower back.,lifts a staircase to a vast archways.,2
36100,lsmdc3059_SALT-28705,14678,"With her back to the door, she sits on the edge of the table. She","With her back to the door, she sits on the edge of the table.",She,gold,'s gaze softens appreciatively.,looks up at a security camera in the corner and snaps her fingers.,peers down at her lifeless form and stares down at someone.,"picks up the empty pen, although it does n't move.",1
36555,anetv_frePM0YGtQE,17930,The guy uses the scissor to cut the cat's claws. The guy,The guy uses the scissor to cut the cat's claws.,The guy,gold,removes the rake on the paper.,blows bark off the floor.,dips the knife using the electric tool.,puts the clippings in his palm.,3
10021,lsmdc1017_Bad_Santa-7422,19234,"He replaces the disk, starts engine, and drives away. The car","He replaces the disk, starts engine, and drives away.",The car,gold,heads toward the edge of a ake headed freeway.,is parked outside a grand mansion with a pillared entranceway.,rolls over to him as someone pulls from the rear seat.,gets halfway up the staircase and treads down to the house.,1
53866,anetv_gK71Ut9XQ-Y,4727,Various shots of tools are shown that lead into a man sitting down holding a guitar. The man then,Various shots of tools are shown that lead into a man sitting down holding a guitar.,The man then,gold,begins playing the drums around while to speak to the camera.,goes down to play drums and stops playing the drums.,cuts up a piece of paper with the rag.,strums the guitar for a bit and pauses.,3
56252,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60941,15383,Someone joins someone on a bluff overlooking the encampment. Camera cranes,Someone joins someone on a bluff overlooking the encampment.,Camera cranes,gold,to reveal: thousands of men and horses!,travels to an elaborate swimming pool about half a dozen surfer silverware.,"display the show drawings, styrofoam.",to a halt on horseback riding down with stairs.,0
19285,lsmdc0014_Ist_das_Leben_nicht_schoen-54774,16153,"The knob on the banister comes off in his hand. A group of men, obviously just drafted,",The knob on the banister comes off in his hand.,"A group of men, obviously just drafted,",gen,eyes running across the lawn.,"have come in view, move the guns out their surfboards.",enter and shut the door.,hold their arrows and look on at the tunnel.,2
60337,anetv_wwh94C7NB1I,10605,They skate around the road winding around the mountain. They,They skate around the road winding around the mountain.,They,gold,continue skating on their skateboards as they take sharp turns.,ride back in the water on one another and outdoors.,get into each and drive off the side of it.,go down and bump each other on high ramps.,0
50542,lsmdc1028_No_Reservations-82858,18845,Someone walks down a hallway. Someone,Someone walks down a hallway.,Someone,gold,takes out the mail and pushes them open.,walks slowly into her new bedroom.,sucks on his guitar.,enters the reception room and opens the door door.,1
53230,anetv_8Mdnvm8olC0,16266,An iaaf logo appears with the words Long Jump men. Several men,An iaaf logo appears with the words Long Jump men.,Several men,gold,stand on a field seated chatting to the camera.,kick at their instructor clapping on jumps.,are in an armory with an demonstrator where one man is holding a selfie stick.,run down a track and perform a long jump in a professional sports venue.,3
36875,lsmdc1027_Les_Miserables-6117,810,"Having fended someone off with a baton torn from the wall, someone is disarmed. Someone runs out, but there","Having fended someone off with a baton torn from the wall, someone is disarmed.","Someone runs out, but there",gen,is an amazed look on his face in the amazing people.,are no people to see him.,is someone still an angry sound.,'s nothing he can do.,3
52406,anetv_U9Dcet1qdRE,16861,The man drops the weight to the ground. We,The man drops the weight to the ground.,We,gen,"she talks, then so it show its attention to the camera.",see them while others hold the horizontal bars while a man turn around to show off his work.,man approaches on the sidewalk panicked.,and the man lifts a weight.,3
50180,anetv_5E2OdhrgG8s,15398,They are playing harmonicas in unison. They,They are playing harmonicas in unison.,They,gold,spin and spin on the machine again.,continue playing to a tune.,watch their jets begin to fly.,lob the drums and put her right back down.,1
20237,lsmdc1047_Defiance-91889,12326,"Someone pulls an injured woman, someone, to safety. Someone with rifle in hand,","Someone pulls an injured woman, someone, to safety.","Someone with rifle in hand,",gold,punches someone in the face.,ducks behind a tree.,runs toward the old man on the river and growls.,walks across the room to someone.,1
26376,lsmdc1027_Les_Miserables-6319,12170,"Young someone watches, a tear rolling down his cheek. Someone gently","Young someone watches, a tear rolling down his cheek.",Someone gently,gen,gently smiling nods as he jumps off of her.,pulls the boy's face towards hers.,takes his father's hand.,strokes marley's head and turns him off.,1
45103,lsmdc0007_DIE_NACHT_DES_JAEGERS-49354,5440,"Someone is looking left and right, casing the joint. Now they","Someone is looking left and right, casing the joint.",Now they,gen,"work at the edge of the pool, out of the sight.",enter the news room.,run through the closed lobby front.,walk into the field with the others attached to the mast.,3
41279,anetv_nT1-fINd4nA,8538,The dog runs to the right and out of the path. The dog,The dog runs to the right and out of the path.,The dog,gold,runs back and fort in front of the leaf blower.,looks at the animal from the position as a very good dog.,stops and keeps talking towards a lady.,takes the leash between people and the dogs.,0
46810,lsmdc3062_SORCERERS_APPRENTICE-30848,137,"Meanwhile, trapped in the mirror, someone sees a student walk by. He","Meanwhile, trapped in the mirror, someone sees a student walk by.",He,gold,knocks on the surface causing it to ripple.,finally lets someone run up.,gets on a rock runner.,takes a vial of marijuana from a shelf.,0
42184,lsmdc1014_2012-79134,736,Someone does it for him. The Antonov,Someone does it for him.,The Antonov,gen,drops on the ground on the ground.,opens in the basement hall.,stands in an attic.,throws the rat.,3
28321,lsmdc3025_FLIGHT-12087,17800,It explodes against a hanging photo of his son. Someone,It explodes against a hanging photo of his son.,Someone,gold,fires a bullet out the other.,is using a secret latex roller.,"holds his back to him, then lifts his hand.","stares at it, motionless.",3
